,cellid,batchid
BT-549,BT-549,NA
MCF7,MCF7,NA
600MPE,600MPE,NA
BT-20,BT-20,NA
HCC1500,HCC1500,NA
HCC3153,HCC3153,NA
BT-474,BT-474,NA
HCC1428,HCC1428,NA
CAMA-1,CAMA-1,NA
MDA-MB-134-VI,MDA-MB-134-VI,NA
HCC2185,HCC2185,NA
HBL-100,HBL-100,NA
HCC1395,HCC1395,NA
HCC202,HCC202,NA
Hs-578-T,Hs-578-T,NA
AU565,AU565,NA
HCC38,HCC38,NA
UACC-893,UACC-893,NA
HCC1143,HCC1143,NA
LY2,LY2,NA
HCC1599,HCC1599,NA
DU-4475,DU-4475,NA
HCC1187,HCC1187,NA
HCC1937,HCC1937,NA
MDA-MB-453,MDA-MB-453,NA
HCC70,HCC70,NA
HCC1954,HCC1954,NA
HCC1806,HCC1806,NA
MDA-MB-415,MDA-MB-415,NA
T47D,T47D,NA
MDA-MB-231,MDA-MB-231,NA
MCF12A,MCF12A,NA
HCC2218,HCC2218,NA
ZR-75-30,ZR-75-30,NA
SK-BR-3,SK-BR-3,NA
ZR-75-1,ZR-75-1,NA
HCC1419,HCC1419,NA
UACC-812,UACC-812,NA
MCF10A,MCF10A,NA
MDA-MB-436,MDA-MB-436,NA
HCC1569,HCC1569,NA
MDA-MB-468,MDA-MB-468,NA
MDA-MB-361,MDA-MB-361,NA
MDAMB157,MDAMB157,NA
ZR75B,ZR75B,NA
MDA-MB-175-VII,MDA-MB-175-VII,NA
SUM225CWN,SUM225CWN,NA
SUM 1315M02,SUM 1315M02,NA
SUM 190,SUM 190,NA
SUM 159PT,SUM 159PT,NA
SUM 149PT,SUM 149PT,NA
BT-483,BT-483,NA
SUM185PE,SUM185PE,NA
SUM 52PE,SUM 52PE,NA
SUM44PE,SUM44PE,NA